country,long,lat,GDP
Aruba,-70.0167,12.5167,2584463687.15084
Andorra,1.5218,42.5075,3248924588.42273
United Arab Emirates,54.3705,24.4764,348743265715.395
Antigua and Barbuda,-61.8456,17.1175,1449160185.18519
Australia,149.129,-35.282,1204616439828.41
Austria,16.3798,48.2201,386427793787.215
Belgium,4.36761,50.8371,466365727353.85
Bahrain,50.5354,26.1921,31858510638.2979
"Bahamas, The",-77.339,25.0661,9047000000
Bermuda,-64.706,32.3293,5573710000
Barbados,-59.6105,13.0935,4587550000
Brunei Darussalam,114.946,4.94199,11400266877.3769
Canada,-75.6919,45.4215,1529760492201.35
Switzerland,7.44821,46.948,659827235193.83
Channel Islands,,,11514605842.3369
Chile,-70.6475,-33.475,247027912574.301
Curacao,,,
Cayman Islands,-81.3857,19.3022,3207032512.94205
Cyprus,33.3736,35.1676,19801664168.2788
Czech Republic,14.4205,50.0878,192924593987.295
Germany,13.4115,52.5235,3466756880460.62
Denmark,12.5681,55.6763,306142937248.09
Spain,-3.70327,40.4167,1232088185030.31
Estonia,24.7586,59.4392,23136741984.155
Finland,24.9525,60.1608,236785046710.878
France,2.35097,48.8566,2465453975282.24
Faroe Islands,-6.91181,61.8926,2613458942.48139
United Kingdom,-0.126236,51.5002,2618885692029.18
Gibraltar,,,
Greece,23.7166,37.9792,194558651275.836
Greenland,-51.7214,64.1836,2220380802.33059
Guam,144.794,13.4443,5734000000
"Hong Kong SAR, China",114.109,22.3964,320912235498.728
Hungary,19.0408,47.4984,124342940194.419
Isle of Man,-4.47928,54.1509,7428280401.5139
Ireland,-6.26749,53.3441,294053595685.717
Iceland,-21.8952,64.1353,20047413006.3471
Israel,35.2035,31.7717,318743685882.414
Italy,12.4823,41.8955,1849970464191.78
Japan,139.77,35.67,4939383909875.27
St. Kitts and Nevis,-62.7309,17.3,916896555.555555
"Korea, Rep.",126.957,37.5323,1411245589976.63
Kuwait,47.9824,29.3721,114041209704.221
Liechtenstein,9.52148,47.1411,6663501418.90417
Lithuania,25.2799,54.6896,42738875963.3703
Luxembourg,6.1296,49.61,59947781147.4776
Latvia,24.1048,56.9465,27677391316.3405
"Macao SAR, China",113.55,22.1667,44802641829.9265
St. Martin (French part),,,
Monaco,7.41891,43.7325,6074884388.58937
Malta,14.5189,35.9042,10949092471.597
Northern Mariana Islands,145.765,15.1935,922000000
New Caledonia,166.464,-22.2677,2682347064.3642
Netherlands,4.89095,52.3738,770845046231.727
Norway,10.7387,59.9138,370556666666.667
New Zealand,174.776,-41.2865,185017316092.654
Oman,58.5874,23.6105,66293368010.4031
Palau,134.479,7.34194,293000000
Poland,21.02,52.26,469508680416.119
Puerto Rico,-66,18.23,103134778000
Portugal,-9.13552,38.7072,204564700289.118
French Polynesia,-149.57,-17.535,3447543137.9415
Qatar,51.5082,25.2948,152468681318.681
Saudi Arabia,46.6977,24.6748,646438380568.715
Singapore,103.85,1.28941,296965712342.019
San Marino,12.4486,43.9322,1899879955.48332
Slovak Republic,17.1073,48.1484,89551834322.5767
Slovenia,14.5044,46.0546,43990635176.0523
Sweden,18.0645,59.3327,510999796581.597
Sint Maarten (Dutch part),,,
Seychelles,55.4466,-4.6309,1427323889.0961
Turks and Caicos Islands,-71.141389,21.4602778,
Trinidad and Tobago,-61.4789,10.6596,20989155539.8436
"Taiwan, China",,,
Uruguay,-56.0675,-34.8941,52419720713.7316
United States,-77.032,38.8895,18569100000000
British Virgin Islands,-64.623056,18.431389,
Virgin Islands (U.S.),-64.8963,18.3358,3765000000
